frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
1326,0.05,true_threat,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],194.84225595333106,-205.254861892155,18.449162660530316,0.16277330861658604,lead_centre,113.70508568702861,18.437510467315995,18.217114,0.958619
1326,0.05,true_threat,DREAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],318.9677155562708,-201.75023721038016,22.385457279148753,0.32489760743814533,,,22.38291159630427,23.564469,1.190587
1326,0.05,true_threat,DREAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],315.7185126125531,-205.25018618034107,21.550738681341944,0.8540723436257368,,,21.493270162436723,20.669735,1.179302
1326,0.05,true_threat,DREAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],319.7177535897412,-208.74982916153704,24.364482411419274,1.74743672304224,,,24.268089884216106,23.668294,0.989086
1326,0.05,true_threat,DREAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],167.11492723422043,-205.24997754115023,16.93737703634912,-0.13359074721519457,occluder,21.02210087162554,16.947157359783326,20.0,1.107499
1326,0.05,true_threat,DREAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],141.35498684190682,-201.78996931888003,31.237887838121594,1.261501317501774,ego,34.685727313705186,31.13399529633744,32.0,1.084063
1326,0.05,true_threat,DREAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],107.64966424375673,-201.7500149258395,32.314443709734476,2.1241762811186287,follower_1,28.63862913705011,32.04544931217034,32.0,0.932464
1326,0.05,true_threat,DREAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],69.62657551505862,-201.75010771818657,30.65486909399536,0.18516532597698335,follower_2,32.76307729886838,30.636357760034226,30.752968,0.906909
1326,0.05,true_threat,DREAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],36.62050058559376,-201.7500759186777,31.884513947970195,2.0540239353437513,follower_3,27.8870394487858,31.635824062943076,31.897678,0.858423
1327,0.1,true_threat,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],195.76492446078151,-205.25485230846567,18.45681304622994,0.15300771012006634,lead_centre,113.85932154912993,18.445530796095117,18.217114,0.958619
1327,0.1,true_threat,DREAM,lead_left,123,vehicle.tesla.model3,leader,-4,left,0,[0],320.087680220846,-201.7502366149539,22.40831875212713,0.4572294610629784,,,22.398984377781108,23.564469,1.190587
1327,0.1,true_threat,DREAM,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],316.79654613242985,-205.25021514811155,21.5759232991448,0.5036923591892775,,,21.535173837055993,20.669735,1.179302
1327,0.1,true_threat,DREAM,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],320.9379379750473,-208.74979437711684,24.431027907498482,1.3309099220360676,,,24.354110150210293,23.668294,0.989086
1327,0.1,true_threat,DREAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],167.96166801171398,-205.2499938594758,16.933716832352204,-0.0732040799448648,occluder,21.09741825005544,16.941121386389018,20.0,1.107499
1327,0.1,true_threat,DREAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],142.91827944798578,-201.78720823330835,31.285887988350012,0.9602519991195888,ego,34.7517681037063,31.196367943099936,32.0,1.084063
1327,0.1,true_threat,DREAM,follower_2,128,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],109.26790470904945,-201.7500579714749,32.39673818294106,1.6458894652408271,follower_1,28.58558878772528,32.14609918540745,32.0,0.932464
1327,0.1,true_threat,DREAM,follower_3,129,vehicle.tesla.model3,follower,-4,left,0,[0],71.15971771870147,-201.75017979427557,30.667901999771065,0.260658115707492,follower_2,32.844284569533684,30.647040698805384,30.752968,0.906909
1327,0.1,true_threat,DREAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],38.21716511920218,-201.75011106594474,31.9638310466258,1.586341973266682,follower_3,27.82727077030043,31.72932660600348,31.897678,0.858423
