frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
1276,0.05,true_threat,ADA,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],195.79322472448607,-205.25484107541152,19.4723637365151,0.37883764152632743,lead_centre,115.99649820912322,19.44608825998674,19.060993,1.021082
1276,0.05,true_threat,ADA,lead_left,123,vehicle.mercedes.coupe_2020,leader,-4,left,0,[0],320.8140997282533,-201.7475458188413,23.777894213423192,1.8646759978563605,,,23.67933074645335,23.287836,0.948219
1276,0.05,true_threat,ADA,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],318.91230989302244,-205.25019370129758,21.596728669746046,0.8481214262794287,,,21.52734586943127,20.011235,1.074628
1276,0.05,true_threat,ADA,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],322.8802703180148,-208.74974054202346,24.52584797127298,1.6989138372584913,,,24.422630185982488,23.123141,0.908861
1276,0.05,true_threat,ADA,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],172.26740374568703,-205.2497441236416,17.667788732282492,-0.017928917142345745,occluder,16.8061277636867,17.672270834082656,20.183858,0.943297
1276,0.05,true_threat,ADA,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],142.92074925546865,-201.75031005796592,31.96223825975561,0.09971591059082527,ego,32.89281524196795,31.905066948117632,32.0,0.996942
1276,0.05,true_threat,ADA,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],104.757476018326,-201.78925377575376,31.96225584445546,1.2404990128242086,follower_1,33.42949524464973,31.80830884569198,32.0,1.023943
1276,0.05,true_threat,ADA,follower_3,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],69.38699071153317,-201.78969287872852,31.161967778859694,1.2569180876601327,follower_2,30.656807327072045,31.040532777204152,32.0,0.992958
1276,0.05,true_threat,ADA,follower_4,130,vehicle.audi.a2,follower,-4,left,0,[0],35.0066043156086,-201.75070119912837,27.865985445601716,5.62976855340252,follower_3,30.02213608132314,27.604962438443845,30.125674,0.878966
1277,0.1,true_threat,ADA,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],196.76740692684098,-205.2548902122703,19.490117339147577,0.35507205223611443,lead_centre,116.10215005844424,19.46470981826074,19.060993,1.021082
1277,0.1,true_threat,ADA,lead_left,123,vehicle.mercedes.coupe_2020,leader,-4,left,0,[0],322.0049874745066,-201.74820767423552,23.843961296093294,1.3213424085084866,,,23.771272709518982,23.287836,0.948219
1277,0.1,true_threat,ADA,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],319.9926627487017,-205.25022187784893,21.621617648182866,0.49777957216057694,,,21.568923612648966,20.011235,1.074628
1277,0.1,true_threat,ADA,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],324.1085723786298,-208.74970298833637,24.591903281815426,1.321106212082802,,,24.50629168994093,23.123141,0.908861
1277,0.1,true_threat,ADA,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],173.15082664474699,-205.24973266942422,17.669951674141334,0.04325883775591413,occluder,16.895910509743857,17.672312615176242,20.183858,0.943297
1277,0.1,true_threat,ADA,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],144.51907700219348,-201.75035989663374,31.97084801575873,0.1721951244919285,ego,32.94362691809782,31.9119516652113,32.0,0.996942
1277,0.1,true_threat,ADA,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],106.3570083400167,-201.7867549855707,32.009725640230315,0.9496394980512292,follower_1,33.43056406775484,31.866767362936674,32.0,1.023943
1277,0.1,true_threat,ADA,follower_3,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],70.94648387935666,-201.78693308929866,31.209588275392974,0.9526548637754471,follower_2,30.696846486144636,31.102620774072445,32.0,0.992958
1277,0.1,true_threat,ADA,follower_4,130,vehicle.audi.a2,follower,-4,left,0,[0],36.40839883420665,-201.75071127168732,28.1200404762418,5.081100612937249,follower_3,30.190882249348647,27.884209359277587,30.125674,0.878966
1278,0.15000000000000002,true_threat,ADA,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],197.74238259138633,-205.25495433723705,19.506648331088265,0.33061983857167143,lead_centre,116.20832071176862,19.482152359295235,19.060993,1.021082
1278,0.15000000000000002,true_threat,ADA,lead_left,123,vehicle.mercedes.coupe_2020,leader,-4,left,0,[0],323.1984692147496,-201.74886864471367,23.88817751443926,0.8843244291966007,,,23.836415195385513,23.287836,0.948219
1278,0.15000000000000002,true_threat,ADA,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],321.07387009131344,-205.25023450411035,21.632115678223613,0.20996060594391946,,,21.593324150893586,20.011235,1.074628
1278,0.15000000000000002,true_threat,ADA,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],325.33965154389796,-208.7496797460567,24.640906895999127,0.9800722853736515,,,24.57133912705071,23.123141,0.908861
1278,0.15000000000000002,true_threat,ADA,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],174.0344326544704,-205.24973641153034,17.67427373366331,0.08644119090914394,occluder,16.986669813038812,17.675227459395973,20.183858,0.943297
1278,0.15000000000000002,true_threat,ADA,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],146.11792354771626,-201.75040955831835,31.98027220770161,0.18848384463529574,ego,32.99657468923202,31.921692456616622,32.0,0.996942
1278,0.15000000000000002,true_threat,ADA,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],107.95855467599554,-201.78382826220744,32.046446237450475,0.7345948476946126,follower_1,33.42935949278896,31.911685046009552,32.0,1.023943
1278,0.15000000000000002,true_threat,ADA,follower_3,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],72.5080063202565,-201.78374536148317,31.24583159774372,0.7250447895608747,follower_2,30.73688564001185,31.149737486764124,32.0,0.992958
1278,0.15000000000000002,true_threat,ADA,follower_4,130,vehicle.audi.a2,follower,-4,left,0,[0],37.82134752696035,-201.75071753910703,28.324555938355857,4.0903092423849685,follower_3,30.348580898574085,28.135664597517128,30.125674,0.878966
1279,0.2,true_threat,ADA,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],198.71818222528773,-205.25500292232465,19.521903305910815,0.30509949672593045,lead_centre,116.31455238983492,19.498384580421043,19.060993,1.021082
1279,0.2,true_threat,ADA,lead_left,123,vehicle.mercedes.coupe_2020,leader,-4,left,0,[0],324.3936599340627,-201.74951377340008,23.915135771111512,0.5391650396732128,,,23.880008307439812,23.287836,0.948219
1279,0.2,true_threat,ADA,lead_centre,124,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],322.1552300270122,-205.25026233710605,21.630618391117533,-0.029945735597166883,,,21.603615653203207,20.011235,1.074628
1279,0.2,true_threat,ADA,lead_right,125,vehicle.nissan.patrol_2021,leader,-6,right,2,[2],326.5726838340524,-208.74965583748727,24.67475662534052,0.6769945889868204,,,24.619589776794097,23.123141,0.908861
1279,0.2,true_threat,ADA,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],174.91834383475194,-205.2497247907405,17.680045377372334,0.11543287458916254,occluder,17.07803946786074,17.68015871265272,20.183858,0.943297
