frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
1290,0.05,true_threat,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],193.55119973565124,-205.25487586035672,18.43995206668403,0.16185777282598518,lead_centre,117.4974944167254,18.428011157912493,18.207641,1.115859
1290,0.05,true_threat,DREAM,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],311.93196923694694,-201.75076133932015,22.10158838814609,1.753539897773106,,,22.04303019748744,24.473662,1.002791
1290,0.05,true_threat,DREAM,lead_centre,124,vehicle.mercedes.coupe_2020,leader,-5,centre,1,[1],317.7326325095448,-205.250613757281,20.705586479896354,0.3297406907632448,,,20.66116039782806,18.774793,0.885101
1290,0.05,true_threat,DREAM,lead_right,125,vehicle.mercedes.coupe_2020,leader,-6,right,2,[2],311.0594471886433,-208.7462681391004,24.918435995684142,1.932208548886893,,,24.823048440741015,24.908478,0.886773
1290,0.05,true_threat,DREAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],165.88228163685147,-205.24991054797076,17.1683436486942,-0.1162719357634359,occluder,20.975714176396266,17.162307638707624,20.0,1.158223
1290,0.05,true_threat,DREAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],140.7427329083905,-201.78926343893193,31.962948194457624,1.2478991813269356,ego,33.706235844284635,31.871943176097812,32.0,0.986178
1290,0.05,true_threat,DREAM,follower_2,128,vehicle.tesla.model3,follower,-4,left,0,[0],107.13904943662182,-201.75026619402763,31.38220596220549,0.12809721786415518,follower_1,28.84302090517245,31.32552843593625,32.0,0.912833
1290,0.05,true_threat,DREAM,follower_3,129,vehicle.audi.a2,follower,-4,left,0,[0],72.34774189010821,-201.75032461059982,28.873948837690467,5.642776967219732,follower_2,30.412270381072773,28.611483697925205,31.244948,0.859204
1290,0.05,true_threat,DREAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],35.08823340801189,-201.75006536214914,32.17362033208298,1.9857790080152993,follower_3,32.79221381054214,31.774331381733855,32.0,1.061567
1291,0.1,true_threat,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],194.47341047425107,-205.25485117404088,18.447552860922464,0.15201588097073923,lead_centre,117.61059265357804,18.435985635797678,18.207641,1.115859
1291,0.1,true_threat,DREAM,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],313.0447927938618,-201.75077843880405,22.341727395871704,4.80278015691284,,,22.12982264993521,24.473662,1.002791
1291,0.1,true_threat,DREAM,lead_centre,124,vehicle.mercedes.coupe_2020,leader,-5,centre,1,[1],318.7678804342284,-205.25079465005535,20.70888412642057,0.06595297268707892,,,20.677370386371457,18.774793,0.885101
1291,0.1,true_threat,DREAM,lead_right,125,vehicle.mercedes.coupe_2020,leader,-6,right,2,[2],312.30752491461806,-208.74703255500265,24.987652509783246,1.384332582565636,,,24.918294670851168,24.908478,0.886773
1291,0.1,true_threat,DREAM,rear_centre,126,vehicle.tesla.model3,follower,-5,centre,1,[1],166.74061909335776,-205.2499229102008,17.16567908419879,-0.0532912898820585,occluder,21.039007629744567,17.157171890021523,20.0,1.158223
1291,0.1,true_threat,DREAM,follower_1,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],142.34234152402206,-201.7867646227219,32.01091961684472,0.9596719989775663,ego,33.75970339803525,31.933854912055697,32.0,0.986178
1291,0.1,true_threat,DREAM,follower_2,128,vehicle.tesla.model3,follower,-4,left,0,[0],108.7084922973321,-201.75032588649654,31.392244319471303,0.20076715092303266,follower_1,28.870974302380873,31.334041196524183,32.0,0.912833
1291,0.1,true_threat,DREAM,follower_3,129,vehicle.audi.a2,follower,-4,left,0,[0],73.8000124799879,-201.75031746373247,29.129678535130424,5.1145939509523854,follower_2,30.542733051198056,28.890430181477385,31.244948,0.859204
1291,0.1,true_threat,DREAM,follower_4,130,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],36.69922594371627,-201.75009562155603,32.248968238730846,1.506958133283439,follower_3,32.62390934574378,31.873620332082982,32.0,1.061567
1292,0.15000000000000002,true_threat,DREAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],195.3960179465488,-205.2548416111731,18.45464248798666,0.14179253745997003,lead_centre,117.7236298396618,18.443468668383282,18.207641,1.115859
1292,0.15000000000000002,true_threat,DREAM,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],314.16829749729345,-201.75077663572756,22.53145899205286,3.7946319258786407,,,22.367484507175423,24.473662,1.002791
1292,0.15000000000000002,true_threat,DREAM,lead_centre,124,vehicle.mercedes.coupe_2020,leader,-5,centre,1,[1],319.8030367905668,-205.25092979769755,20.702736526073004,-0.12295176713716313,,,20.68061253965504,18.774793,0.885101
1292,0.15000000000000002,true_threat,DREAM,lead_right,125,vehicle.mercedes.coupe_2020,leader,-6,right,2,[2],313.55834925369675,-208.74788758666395,25.03475865695399,0.942123647068466,,,24.986524165489893,24.908478,0.886773
