frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
3907,0.05,empty_shadow,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],193.79112673597203,-205.25480517782503,18.634591322065976,0.15106223013240722,lead_centre,115.3143387521134,18.62269296371302,18.42783,1.163254
3907,0.05,empty_shadow,APF,lead_left,122,vehicle.tesla.model3,leader,-4,left,0,[0],314.5091763330596,-201.74977124584095,23.725205951167304,0.3725435377861722,,,23.713122079510967,24.333146,0.877731
3907,0.05,empty_shadow,APF,lead_centre,123,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],316.26305614400894,-205.25027176314566,21.4652684454618,0.8547970739382025,,,21.402992375283983,20.102401,0.907738
3907,0.05,empty_shadow,APF,lead_right,124,vehicle.tesla.model3,leader,-6,right,2,[2],317.85748132182636,-208.74995692583784,23.172582085804972,0.3492737408546159,,,23.163536044840594,23.765983,1.0518
3907,0.05,empty_shadow,APF,rear_centre,125,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],171.8297895273427,-205.24981538663994,19.259030634672275,0.9008410076115443,occluder,14.974797641018732,19.079270900544557,20.0,0.888602
3907,0.05,empty_shadow,APF,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],145.00643344052662,-201.7894985516496,31.951748717132173,1.2520639763973296,ego,29.720517657301357,31.87038754227152,32.0,0.868232
3907,0.05,empty_shadow,APF,follower_2,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],109.92006653530265,-201.78915408481615,31.361468261245545,1.2477360690297663,follower_1,30.383202261787858,31.235883018417052,31.306896,0.898137
3907,0.05,empty_shadow,APF,follower_3,128,vehicle.audi.a2,follower,-4,left,0,[0],72.79779780292716,-201.75059423193903,28.23551332749014,5.638618748605041,follower_2,32.77250227276677,27.972890521380755,30.535483,0.93041
3907,0.05,empty_shadow,APF,follower_4,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],35.4572638733045,-201.79133247555734,29.951817365016232,1.2667291176413313,follower_3,33.240811550490776,29.734740293481956,29.801881,1.027143
3908,0.1,empty_shadow,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],194.72310309900362,-205.25477716006034,18.641730541158527,0.14278437783506776,lead_centre,115.45499429794474,18.63013348207242,18.42783,1.163254
3908,0.1,empty_shadow,APF,lead_left,122,vehicle.tesla.model3,leader,-4,left,0,[0],315.69612708292675,-201.74976305754583,23.74876743965285,0.47122977079874384,,,23.73156205473377,24.333146,0.877731
3908,0.1,empty_shadow,APF,lead_centre,123,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],317.33687823834947,-205.25030216760345,21.490462595647816,0.5038830102745339,,,21.445036093212796,20.102401,0.907738
3908,0.1,empty_shadow,APF,lead_right,124,vehicle.tesla.model3,leader,-6,right,2,[2],319.01675262994473,-208.74995818011809,23.195674359025013,0.4618454644221009,,,23.18076813871764,23.765983,1.0518
3908,0.1,empty_shadow,APF,rear_centre,125,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],172.7934431710625,-205.2498833740052,19.28625232171919,0.5444337421059443,occluder,14.944402098537175,19.119896103292955,20.0,0.888602
3908,0.1,empty_shadow,APF,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],146.60546222220756,-201.78699993324437,31.999970193273242,0.9646752517390248,ego,29.78991533385239,31.932463008620967,32.0,0.868232
3908,0.1,empty_shadow,APF,follower_2,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],111.48953898703007,-201.7864977025792,31.40875988622483,0.9460715479954005,follower_1,30.41272808457579,31.297444307408647,31.306896,0.898137
3908,0.1,empty_shadow,APF,follower_3,128,vehicle.audi.a2,follower,-4,left,0,[0],74.2181164903692,-201.7505979851559,28.4909073220997,5.107879892051395,follower_2,32.93276458579956,28.25286214722032,30.535483,0.93041
3908,0.1,empty_shadow,APF,follower_4,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],36.95625577423783,-201.7880897854845,29.99885636207374,0.9410343982048059,follower_3,33.15102978304674,29.807636921434213,29.801881,1.027143
3909,0.15000000000000002,empty_shadow,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],195.65538464300408,-205.25476429697602,18.648444423538127,0.13427764396309652,lead_centre,115.59684002925368,18.637156615415815,18.42783,1.163254
3909,0.15000000000000002,empty_shadow,APF,lead_left,122,vehicle.tesla.model3,leader,-4,left,0,[0],316.8843290482188,-201.74973918362065,23.77296788955173,0.48400899910530787,,,23.75488611973469,24.333146,0.877731
3909,0.15000000000000002,empty_shadow,APF,lead_centre,123,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],318.4114937896751,-205.250332301381,21.501250539212247,0.21575887970134242,,,21.46981793485264,20.102401,0.907738
3909,0.15000000000000002,empty_shadow,APF,lead_right,124,vehicle.tesla.model3,leader,-6,right,2,[2],320.17730567106435,-208.7499437383575,23.22001213095525,0.4867554386432762,,,23.20355337077844,23.765983,1.0518
3909,0.15000000000000002,empty_shadow,APF,rear_centre,125,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],173.75795130171468,-205.24993581108052,19.299205129319198,0.2590561525237599,occluder,14.912724817848954,19.144330431956334,20.0,0.888602
3909,0.15000000000000002,empty_shadow,APF,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],148.20653552534222,-201.7840428536718,32.03761602777431,0.7531010365817951,ego,29.85900801682854,31.98019496641612,32.0,0.868232
3909,0.15000000000000002,empty_shadow,APF,follower_2,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],113.0609949302639,-201.78339813878463,31.444783175900444,0.7206412276464259,follower_1,30.44228441452929,31.344176407029774,31.306896,0.898137
3909,0.15000000000000002,empty_shadow,APF,follower_3,128,vehicle.audi.a2,follower,-4,left,0,[0],75.64965038711956,-201.75059791241202,28.69739689505316,4.129791458920775,follower_2,33.08191835008495,28.50587815926955,30.535483,0.93041
3909,0.15000000000000002,empty_shadow,APF,follower_4,129,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],38.45718539551842,-201.78441918825837,30.033605460099285,0.6951572728546281,follower_3,33.07235656955544,29.863862853755922,29.801881,1.027143
3910,0.2,empty_shadow,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],196.58800186993358,-205.25472080179682,18.65471770956266,0.12546571759998926,lead_centre,115.73917403657882,18.643753344321112,18.42783,1.163254
3910,0.2,empty_shadow,APF,lead_left,122,vehicle.tesla.model3,leader,-4,left,0,[0],318.0735991338885,-201.74973020410644,23.79408034296953,0.4222490697040016,,,23.77884197071961,24.333146,0.877731
3910,0.2,empty_shadow,APF,lead_centre,123,vehicle.nissan.patrol_2021,leader,-5,centre,1,[1],319.48635348161145,-205.25036235187235,21.500058424204695,-0.023842290074866067,,,21.480428887052753,20.102401,0.907738
3910,0.2,empty_shadow,APF,lead_right,124,vehicle.tesla.model3,leader,-6,right,2,[2],321.33901838529073,-208.74994415977554,23.24175590930196,0.4348755670028605,,,23.22756654699878,23.765983,1.0518
3910,0.2,empty_shadow,APF,rear_centre,125,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],174.72276461333576,-205.25000340283623,19.300660435230693,0.029106117931114735,occluder,14.880498231197222,19.155843329949395,20.0,0.888602
3910,0.2,empty_shadow,APF,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],149.80928717024673,-201.78071899059026,32.06713795658262,0.5905676823914211,ego,29.9276431027319,32.01720982790144,32.0,0.868232
3910,0.2,empty_shadow,APF,follower_2,127,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],114.63402242457195,-201.77999286307153,31.472138604844083,0.5472279477378509,follower_1,30.471901774430115,31.37983443912321,31.306896,0.898137
