frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
3990,0.05,true_threat,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],190.04536074332722,-205.25489829785766,18.406783259441447,0.16578689439684205,lead_centre,111.4218829225324,18.391443734179003,18.168496,1.019807
3990,0.05,true_threat,APF,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],306.44502040761495,-201.7504830508335,22.885110212820134,2.932167164644225,,,22.765230212149614,25.388964,1.025168
3990,0.05,true_threat,APF,lead_centre,124,vehicle.tesla.model3,leader,-5,centre,1,[1],308.08360433101575,-205.2496038327561,18.13415083092354,0.03990202103962262,,,18.150319229883657,19.353903,0.932058
3990,0.05,true_threat,APF,lead_right,125,vehicle.audi.a2,leader,-6,right,2,[2],313.4751188322874,-208.75069446076208,22.299679942963554,1.753311065634567,,,22.23140470115175,24.214186,1.180499
3990,0.05,true_threat,APF,rear_centre,126,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],163.86744007523205,-205.25001943884467,18.07717040471127,0.6607818954253997,occluder,19.14374312736569,17.98957416089191,20.0,1.144071
3990,0.05,true_threat,APF,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],142.87054792093437,-201.7502546323866,31.427354824347557,0.13275116953011673,ego,26.326744010702377,31.387461413064045,31.539545,0.850488
3990,0.05,true_threat,APF,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],102.82701049535854,-201.78979400785065,31.252056918595233,1.2603488246913315,follower_1,35.30097028260274,31.135380086483426,31.206399,1.031856
3990,0.05,true_threat,APF,follower_3,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],65.60931288530787,-201.7500460064214,31.65317352215981,1.9586946644483196,follower_2,32.117404286979394,31.454518788953838,30.370599,0.969922
3990,0.05,true_threat,APF,follower_4,130,vehicle.tesla.model3,follower,-4,left,0,[0],33.497631783055056,-201.74958702273986,30.090677246945376,0.19725827653428876,follower_3,26.856384606736754,30.059985693236676,30.246639,0.855866
3991,0.1,true_threat,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],190.9658930204332,-205.25488944292277,18.414569066490884,0.15571613692564737,lead_centre,111.40833311863335,18.399572111633137,18.168496,1.019807
3991,0.1,true_threat,APF,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],307.5971506028676,-201.75048674123573,23.125680292168813,4.811401586883785,,,22.910582862218995,25.388964,1.025168
3991,0.1,true_threat,APF,lead_centre,124,vehicle.tesla.model3,leader,-5,centre,1,[1],308.99052578468616,-205.24964539739258,18.138959272590874,0.09616883523952624,,,18.152287500727713,19.353903,0.932058
3991,0.1,true_threat,APF,lead_right,125,vehicle.audi.a2,leader,-6,right,2,[2],314.59795214903943,-208.7506928867227,22.541098784266545,4.828376827447287,,,22.318323392774587,24.214186,1.180499
3991,0.1,true_threat,APF,rear_centre,126,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],164.77179803166757,-205.25000084283377,18.100136792694983,0.45932775950178223,occluder,19.160985558003,18.02108527907865,20.0,1.144071
3991,0.1,true_threat,APF,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],144.44223381830096,-201.7502983008752,31.43768691423976,0.20664180283018854,ego,26.39080034099475,31.395843430473406,31.539545,0.850488
3991,0.1,true_threat,APF,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],104.39106604084624,-201.78703266200952,31.299999630397192,0.959100779558792,follower_1,35.31082825618803,31.195920609090983,31.206399,1.031856
3991,0.1,true_threat,APF,follower_3,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],67.19425866959818,-201.75008515142707,31.728031241024084,1.497154377869097,follower_2,32.09796379962586,31.54921473095943,30.370599,0.969922
3991,0.1,true_threat,APF,follower_4,130,vehicle.tesla.model3,follower,-4,left,0,[0],35.00256045092533,-201.7495619120756,30.104385377230635,0.2741626091312868,follower_3,26.932876943088388,30.072157535062342,30.246639,0.855866
3992,0.15000000000000002,true_threat,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],191.88685253840274,-205.2548651834488,18.421837982641534,0.14537831946618796,lead_centre,111.39472229519775,18.40721079862588,18.168496,1.019807
3992,0.15000000000000002,true_threat,APF,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],308.7598093619608,-201.75048683991966,23.31371817309876,3.760757618531419,,,23.14903950568918,25.388964,1.025168
3992,0.15000000000000002,true_threat,APF,lead_centre,124,vehicle.tesla.model3,leader,-5,centre,1,[1],309.8976608770072,-205.24973266551814,18.14556633797933,0.13214130891409995,,,18.157031242067905,19.353903,0.932058
3992,0.15000000000000002,true_threat,APF,lead_right,125,vehicle.audi.a2,leader,-6,right,2,[2],315.7314666227191,-208.75070292769934,22.73226852373673,3.823394790696023,,,22.55763947130882,24.214186,1.180499
3992,0.15000000000000002,true_threat,APF,rear_centre,126,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],165.67704100302262,-205.2499972036985,18.11357406728749,0.26874549165477785,occluder,19.177159878673482,18.043104935570984,20.0,1.144071
3992,0.15000000000000002,true_threat,APF,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],146.0144690320418,-201.75034178196978,31.448715183651306,0.2205653953660261,ego,26.456809712887246,31.407186230610925,31.539545,0.850488
3992,0.15000000000000002,true_threat,APF,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],105.95712034703931,-201.78385864698174,31.336689200851172,0.7339715086846011,follower_1,35.31845860806689,31.24212986638107,31.206399,1.031856
3992,0.15000000000000002,true_threat,APF,follower_3,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],68.78230199309331,-201.75013849852698,31.78232010858176,1.085777351150734,follower_2,32.07707356082325,31.621518990720325,30.370599,0.969922
3992,0.15000000000000002,true_threat,APF,follower_4,130,vehicle.tesla.model3,follower,-4,left,0,[0],36.508206302661364,-201.74959759191074,30.118543643136263,0.2831653222369774,follower_3,27.012894059508426,30.08734341397624,30.246639,0.855866
3993,0.2,true_threat,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],192.80814774971208,-205.2548408094563,18.428572843506366,0.13469721381723818,lead_centre,111.38089786954927,18.414345259032636,18.168496,1.019807
3993,0.2,true_threat,APF,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],309.929761816596,-201.75046919163952,23.439523078989303,2.516098117718324,,,23.335378874175905,25.388964,1.025168
3993,0.2,true_threat,APF,lead_centre,124,vehicle.tesla.model3,leader,-5,centre,1,[1],310.8051621802444,-205.24981980871436,18.1531690299734,0.15205383985360332,,,18.163549321657783,19.353903,0.932058
3993,0.2,true_threat,APF,lead_right,125,vehicle.audi.a2,leader,-6,right,2,[2],316.87248841497524,-208.75069514883646,22.862313459338864,2.6008987131327754,,,22.747095480877878,24.214186,1.180499
3993,0.2,true_threat,APF,rear_centre,126,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],166.58271121524115,-205.24997816002417,18.116957707720406,0.06767280848994818,occluder,19.192876425287952,18.056156546117755,20.0,1.144071
3993,0.2,true_threat,APF,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],147.58716201463326,-201.75040036569087,31.456861446558058,0.16292526764119225,ego,26.52391759780438,31.418575163102506,31.539545,0.850488
3993,0.2,true_threat,APF,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],107.524761452684,-201.78034839725368,31.364712707694114,0.5605920775352914,follower_1,35.32463951561466,31.277580206322135,31.206399,1.031856
3993,0.2,true_threat,APF,follower_3,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],70.37245102415119,-201.75017586849503,31.818622674553072,0.7260513191048281,follower_2,32.05508454352119,31.673985415007827,30.370599,0.969922
3993,0.2,true_threat,APF,follower_4,130,vehicle.tesla.model3,follower,-4,left,0,[0],38.014447257547005,-201.7496635863121,30.12945369333318,0.21820100816277563,follower_3,27.09529153126752,30.102412425663545,30.246639,0.855866
3994,0.25,true_threat,APF,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],193.7297481367849,-205.254816331356,18.43475457540316,0.1236346347383698,lead_centre,111.36710396147714,18.420957538545395,18.168496,1.019807
3994,0.25,true_threat,APF,lead_left,123,vehicle.audi.a2,leader,-4,left,0,[0],311.10383414924377,-201.75046539669262,23.50281844615014,1.2659073431863654,,,23.460024222264057,25.388964,1.025168
3994,0.25,true_threat,APF,lead_centre,124,vehicle.tesla.model3,leader,-5,centre,1,[1],311.7130602067688,-205.24989155778232,18.161263811027034,0.16189562009772804,,,18.171049498128284,19.353903,0.932058
3994,0.25,true_threat,APF,lead_right,125,vehicle.audi.a2,leader,-6,right,2,[2],318.017813190702,-208.7507011608421,22.9300224243248,1.3541793006831304,,,22.875949657726448,24.214186,1.180499
3994,0.25,true_threat,APF,rear_centre,126,vehicle.nissan.patrol_2021,follower,-5,centre,1,[1],167.488320392307,-205.2499591371714,18.111725855009418,-0.10463705429036844,occluder,19.208501424378756,18.059753305117642,20.0,1.144071
3994,0.25,true_threat,APF,follower_1,127,vehicle.tesla.model3,follower,-4,left,0,[0],149.16009913263014,-201.75044360733756,31.458953781846436,0.04184671794356246,ego,26.590048774527443,31.425940952601685,31.539545,0.850488
3994,0.25,true_threat,APF,follower_2,128,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],109.0935926553147,-201.77657834210632,31.385633206225613,0.4184841261857397,follower_1,35.32969139256144,31.304642493290928,31.206399,1.031856
3994,0.25,true_threat,APF,follower_3,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],71.9638665398329,-201.750228065204,31.839187703342375,0.4113005756187409,follower_2,32.03257661810801,31.709176439504027,30.370599,0.969922
